"order","family","genus","species","growth_form"
"Fabales","Fabaceae","Acacia","Acacia_auricoma","shrub"
"Fabales","Fabaceae","Acacia","Acacia_auripila","tree"
"Fabales","Fabaceae","Acacia","Acacia_auronitens","subshrub"
"Fabales","Fabaceae","Acacia","Acacia_ausfeldii","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_awestoniana","shrub"
"Fabales","Fabaceae","Acacia","Acacia_axillaris","shrub"
"Fabales","Fabaceae","Acacia","Acacia_ayersiana","tree"
"Fabales","Fabaceae","Acacia","Acacia_baeuerlenii","shrub"
"Fabales","Fabaceae","Acacia","Acacia_bakeri","tree"
"Fabales","Fabaceae","Acacia","Acacia_balsamea","shrub"
"Fabales","Fabaceae","Acacia","Acacia_bancroftiorum","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_barakulensis","shrub"
"Fabales","Fabaceae","Acacia","Acacia_barattensis","shrub"
"Fabales","Fabaceae","Acacia","Acacia_barbinervis","shrub"
"Fabales","Fabaceae","Acacia","Acacia_barbinervis_subsp._barbinervis",NA
"Fabales","Fabaceae","Acacia","Acacia_barbinervis_subsp._borealis",NA
"Fabales","Fabaceae","Acacia","Acacia_barrettiorum",NA
"Fabales","Fabaceae","Acacia","Acacia_barringtonensis","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_bartlei",NA
"Fabales","Fabaceae","Acacia","Acacia_basedowii","shrub"
"Fabales","Fabaceae","Acacia","Acacia_baueri","shrub"
"Fabales","Fabaceae","Acacia","Acacia_baueri_subsp._aspera",NA
"Fabales","Fabaceae","Acacia","Acacia_baueri_subsp._baueri",NA
"Fabales","Fabaceae","Acacia","Acacia_baxteri","shrub"
"Fabales","Fabaceae","Acacia","Acacia_beadleana","shrub"
"Fabales","Fabaceae","Acacia","Acacia_beauverdiana","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_beckleri","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_beckleri_subsp._beckleri",NA
"Fabales","Fabaceae","Acacia","Acacia_beckleri_subsp._megaspherica",NA
"Fabales","Fabaceae","Acacia","Acacia_benthamii","shrub"
"Fabales","Fabaceae","Acacia","Acacia_betchei","shrub"
"Fabales","Fabaceae","Acacia","Acacia_bidentata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_bifaria","shrub"
"Fabales","Fabaceae","Acacia","Acacia_biflora","shrub"
"Fabales","Fabaceae","Acacia","Acacia_binata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_binervata","tree"
"Fabales","Fabaceae","Acacia","Acacia_binervia","tree"
"Fabales","Fabaceae","Acacia","Acacia_bivenosa","shrub"
"Fabales","Fabaceae","Acacia","Acacia_blakei","tree"
"Fabales","Fabaceae","Acacia","Acacia_blakei_subsp._blakei",NA
"Fabales","Fabaceae","Acacia","Acacia_blakei_subsp._diphylla",NA
"Fabales","Fabaceae","Acacia","Acacia_blakelyi","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_blaxellii","shrub"
"Fabales","Fabaceae","Acacia","Acacia_blayana","tree"
"Fabales","Fabaceae","Acacia","Acacia_boormanii_var._Mount_Typo_(F.E.Bienvenu_11)",NA
"Fabales","Fabaceae","Acacia","Acacia_botrydion","shrub"
"Fabales","Fabaceae","Acacia","Acacia_brachybotrya","shrub"
"Fabales","Fabaceae","Acacia","Acacia_brachycarpa","shrub"
"Fabales","Fabaceae","Acacia","Acacia_brachyclada","shrub"
"Fabales","Fabaceae","Acacia","Acacia_brachyphylla","subshrub"
"Fabales","Fabaceae","Acacia","Acacia_brachyphylla_var._brachyphylla",NA
"Fabales","Fabaceae","Acacia","Acacia_brachyphylla_var._recurvata",NA
"Fabales","Fabaceae","Acacia","Acacia_brachypoda","shrub"
"Fabales","Fabaceae","Acacia","Acacia_brachystachya","tree"
"Fabales","Fabaceae","Acacia","Acacia_bracteolata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_brassii","tree"
"Fabales","Fabaceae","Acacia","Acacia_brockii","tree"
"Fabales","Fabaceae","Acacia","Acacia_bromilowiana",NA
"Fabales","Fabaceae","Acacia","Acacia_browniana",NA
"Fabales","Fabaceae","Acacia","Acacia_browniana_var._browniana",NA
"Fabales","Fabaceae","Acacia","Acacia_browniana_var._endlicheri",NA
"Fabales","Fabaceae","Acacia","Acacia_browniana_var._glaucescens",NA
"Fabales","Fabaceae","Acacia","Acacia_browniana_var._intermedia",NA
"Fabales","Fabaceae","Acacia","Acacia_browniana_var._obscura",NA
"Fabales","Fabaceae","Acacia","Acacia_brownii","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_brumalis","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_brunioides","shrub"
"Fabales","Fabaceae","Acacia","Acacia_brunioides_subsp._brunioides",NA
"Fabales","Fabaceae","Acacia","Acacia_brunioides_subsp._granitica",NA
"Fabales","Fabaceae","Acacia","Acacia_bulgaensis","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_burbidgeae","shrub"
"Fabales","Fabaceae","Acacia","Acacia_burdekensis","tree"
"Fabales","Fabaceae","Acacia","Acacia_burkittii",NA
"Fabales","Fabaceae","Acacia","Acacia_burrana",NA
"Fabales","Fabaceae","Acacia","Acacia_burrowii","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_burrowsiana",NA
"Fabales","Fabaceae","Acacia","Acacia_buxifolia","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_buxifolia_subsp._buxifolia",NA
"Fabales","Fabaceae","Acacia","Acacia_buxifolia_subsp._pubiflora",NA
"Fabales","Fabaceae","Acacia","Acacia_bynoeana","shrub"
"Fabales","Fabaceae","Acacia","Acacia_caerulescens","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_caesaneura",NA
"Fabales","Fabaceae","Acacia","Acacia_caesariata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_caesiella","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_calantha","shrub"
"Fabales","Fabaceae","Acacia","Acacia_calcarata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_calcicola","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_calligera",NA
"Fabales","Fabaceae","Acacia","Acacia_calyculata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_cambagei","tree"
"Fabales","Fabaceae","Acacia","Acacia_camptocarpa",NA
"Fabales","Fabaceae","Acacia","Acacia_camptoclada","shrub"
"Fabales","Fabaceae","Acacia","Acacia_campylophylla","shrub"
"Fabales","Fabaceae","Acacia","Acacia_cana","shrub"
"Fabales","Fabaceae","Acacia","Acacia_cangaiensis","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_capillaris","shrub"
"Fabales","Fabaceae","Acacia","Acacia_carens","shrub"
"Fabales","Fabaceae","Acacia","Acacia_carneorum","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_carnosula","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_caroleae","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_cassicula","shrub"
"Fabales","Fabaceae","Acacia","Acacia_castanostegia","shrub"
"Fabales","Fabaceae","Acacia","Acacia_cataractae","shrub"
"Fabales","Fabaceae","Acacia","Acacia_catenulata","tree"
"Fabales","Fabaceae","Acacia","Acacia_catenulata_subsp._catenulata",NA
"Fabales","Fabaceae","Acacia","Acacia_catenulata_subsp._occidentalis",NA
"Fabales","Fabaceae","Acacia","Acacia_cavealis","shrub"
"Fabales","Fabaceae","Acacia","Acacia_cedroides","shrub"
"Fabales","Fabaceae","Acacia","Acacia_celastrifolia","shrub"
"Fabales","Fabaceae","Acacia","Acacia_celsa","tree"
"Fabales","Fabaceae","Acacia","Acacia_cerastes","shrub"
"Fabales","Fabaceae","Acacia","Acacia_chalkeri","shrub"
"Fabales","Fabaceae","Acacia","Acacia_chamaeleon","shrub"
"Fabales","Fabaceae","Acacia","Acacia_chapmanii_subsp._australis",NA
"Fabales","Fabaceae","Acacia","Acacia_chapmanii_subsp._chapmanii",NA
"Fabales","Fabaceae","Acacia","Acacia_chartacea","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_cheelii","tree"
"Fabales","Fabaceae","Acacia","Acacia_chinchillensis","shrub"
"Fabales","Fabaceae","Acacia","Acacia_chippendalei","shrub"
"Fabales","Fabaceae","Acacia","Acacia_chisholmii","shrub"
"Fabales","Fabaceae","Acacia","Acacia_chrysella","shrub"
"Fabales","Fabaceae","Acacia","Acacia_chrysocephala","subshrub"
"Fabales","Fabaceae","Acacia","Acacia_chrysochaeta","shrub"
"Fabales","Fabaceae","Acacia","Acacia_chrysopoda","shrub"
"Fabales","Fabaceae","Acacia","Acacia_chrysotricha","tree"
"Fabales","Fabaceae","Acacia","Acacia_cincinnata","tree"
"Fabales","Fabaceae","Acacia","Acacia_citrinoviridis","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_clandullensis","shrub"
"Fabales","Fabaceae","Acacia","Acacia_claviseta",NA
"Fabales","Fabaceae","Acacia","Acacia_clelandii","shrub"
"Fabales","Fabaceae","Acacia","Acacia_clunies-rossiae","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_clydonophora","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_cochlearis","shrub"
"Fabales","Fabaceae","Acacia","Acacia_cochlocarpa","shrub"
"Fabales","Fabaceae","Acacia","Acacia_cochlocarpa_subsp._cochlocarpa",NA
